Timestamp,Target,Prediction,Anomaly,P-Value
1335781260,665.84000000000003,448.56940361300786,0,0.5
1335781320,670.72000000000003,424.8128953645579,0,0.5
1335781380,678.98000000000002,469.3854530404712,0,0.5
1335781440,581.25,672.6940122932032,0,0.5
1335781500,579.40999999999997,634.0190953057822,0,0.5
1335781560,588.15999999999997,437.8502750892643,0,0.5
1335781620,586.91999999999996,465.98765771410865,0,0.5
1335781680,583.49000000000001,611.6990887838473,0,0.5
1335781740,870.83000000000004,930.8055900492393,0,0.5
1335781800,1529.77,932.1387810907579,0,0.5
1335781860,1574.97,701.100639197034,0,0.5
1335781920,1424.1099999999999,381.1013540004974,0,0.5
1335781980,1420.0599999999999,409.02263536204356,0,0.5
1335782040,1434.98,591.7432000660198,0,0.5
1335782100,1436.04,454.4831954950828,0,0.5
1335782160,1412.1199999999999,586.6632522209774,0,0.5
1335782220,675.16999999999996,487.1237917021275,0,0.5
1335782280,529.87,453.6588887079542,0,0.5
1335782340,554.77999999999997,474.8415596040637,0,0.5
1335782400,497.08999999999997,608.9625833574969,0,0.5
1335782460,608.65999999999997,908.1709192542945,0,0.5
1335782520,842.05999999999995,975.0759139097462,0,0.5
1335782580,750.99000000000001,687.8383655117218,0,0.5
1335782640,500.62,593.4748788529567,0,0.5
1335782700,490.16000000000003,449.1978765555157,0,0.5
1335782760,494.51999999999998,658.0427087172975,0,0.5
1335782820,499.69,450.26954140744016,0,0.5
1335782880,499.18000000000001,446.7318262336477,0,0.5
1335782940,588.74000000000001,609.2450873465755,0,0.5
1335783000,604.63,420.73594305070367,0,0.5
1335783060,599.34000000000003,448.7346523592471,0,0.5
1335783120,600.42999999999995,421.39142816712285,0,0.5
1335783180,599.47000000000003,485.56747682785567,0,0.5
1335783240,598.61000000000001,423.6236548421106,0,0.5
1335783300,538.24000000000001,552.5096440073123,0,0.5
1335783360,1539.52,1650.8512754114192,0,0.5
1335783420,1808.05,1655.6320168847242,0,0.5
1335783480,1666.1199999999999,1649.4003860780301,0,0.5
1335783540,1362.1199999999999,1268.075316485215,0,0.5
1335783600,1302.5799999999999,1238.7037943948162,0,0.5
1335783660,1421.6199999999999,1323.206984176213,0,0.5
1335783720,1536.95,1302.4000340518032,0,0.5
1335783780,1532.24,1332.1826757034792,0,0.5
1335783840,1552.25,1342.5094826444797,0,0.5
1335783900,1544.3199999999999,1327.8184688446563,0,0.5
1335783960,1551.3199999999999,1492.379694102089,0,0.5
1335784020,1878.77,1685.5036837089524,0,0.5
1335784080,1997.3800000000001,1514.9628307566234,0,0.5
1335784140,3028.0599999999999,1151.5857638223706,0,0.5
1335784200,3009.0799999999999,1242.8358041649167,0,0.5
1335784260,2939.5599999999999,1268.6718547196147,0,0.5
1335784320,2142.2600000000002,1269.1475364081607,0,0.5
